AmericaEquity;IncomeFound;AggregateBond;CorporateBond;EquityAllCap;HighYeldPlusBound;SelectEquity;ShortDurationBond;USTechnology;USValue
0.004499523;-0.000110115;-0.000210338;-0.000506122;0.00416963;-9.83E-05;0.001962158;-0.000196703;0.003312628;0.002289783
0.000187776;0.000550297;0.000735736;0.001684783;0.000307275;0.000589607;0.000247744;0.000172865;0.000202748;0.001519842
0.002309253;0.000879028;0.000367401;4.20E-05;0.00264126;0.000490728;0.002395807;-5.96E-05;0.00560246;0.000757931
-0.00155896;-0.000109781;0.000262239;0.000588077;-0.001950685;-4.90E-05;-0.002172959;7.75E-05;0.00029096;-0.001517188
0.000873707;0.000109781;0;-0.000377958;0.000612923;-4.91E-05;0.000865547;-0.000113244;0.000980554;0.000759256
0.001773204;-0.000714074;-0.00089226;-0.001135851;0.002100351;-0.00088391;0.000863826;-0.000692027;0.000598139;0.000757931
0.004416959;-0.000109962;-0.000367935;-0.000547953;0.004396805;-0.000196669;0.003462685;0.00033422;0.006258006;0.002642391
-0.007720305;0.000329802;0.000157725;0.000421563;-0.007685482;0.00044238;-0.005538761;-5.97E-06;-0.031464261;0.003000319
0.003458546;-0.00016487;-0.000157725;-0.000168576;0.004392058;4.91E-05;0.003012003;-5.97E-05;0.013009576;0.000373587
-0.000932029;0.000604217;0.001050416;0.002354133;-0.001560774;0.00044188;-0.00212104;0.000363823;-0.002203787;0
0.001614249;-0.000164703;0.000104902;-0.000419446;0.002054485;-0.00039276;0.001061815;-0.000363823;-0.004498161;-0.001121726
-0.00027896;-0.000109837;-5.24E-05;0.000419446;-0.000759788;-0.000393116;-0.000592321;0.000101424;0.004685357;-0.00112463
0.002350051;0.000109837;0;-0.000209672;0.003068964;-0.00029507;0.003198784;-0.000113358;0.004116566;0.002992566
0.001324023;0;-0.000104915;0.000586828;0.001244128;-0.00014761;0.000661418;-6.56E-05;0.003213864;-0.001493706
-0.001725104;-0.000549462;0.000209804;-0.000125682;-0.001697423;-0.000985354;-0.001323845;5.97E-06;-0.000773586;-0.001874386
